parent,child,parentLabel,childLabel
Q19159,Q2940133,Tetrapoda,Carphophis Amoenus
Q25241,Q2940133,Vertebrata,Carphophis Amoenus
Q19159,Q2704229,Tetrapoda,Ring-Necked Snake
Q25241,Q2704229,Vertebrata,Ring-Necked Snake
Q19159,Q369667,Tetrapoda,Bitis Arietans
Q25241,Q369667,Vertebrata,Bitis Arietans
Q19159,Q170713,Tetrapoda,Grass Snake
Q25241,Q170713,Vertebrata,Grass Snake
Q19159,Q1364033,Tetrapoda,Lampropeltis
Q25241,Q1364033,Vertebrata,Lampropeltis
Q19159,Q1149509,Tetrapoda,Garter Snake
Q25241,Q1149509,Vertebrata,Garter Snake
Q19159,Q35541230,Tetrapoda,Barred Grass Snake
Q25241,Q35541230,Vertebrata,Barred Grass Snake
Q19159,Q922205,Tetrapoda,Hypsiglena Torquata
Q25241,Q922205,Vertebrata,Hypsiglena Torquata
Q19159,Q215388,Tetrapoda,Boa Constrictor
Q25241,Q215388,Vertebrata,Boa Constrictor
Q19159,Q764797,Tetrapoda,Python Sebae
Q25241,Q764797,Vertebrata,Python Sebae
Q19159,Q192754,Tetrapoda,Indian Cobra
Q25241,Q192754,Vertebrata,Indian Cobra
Q19159,Q622805,Tetrapoda,Dendroaspis Angusticeps
Q25241,Q622805,Vertebrata,Dendroaspis Angusticeps
Q19159,Q152504,Tetrapoda,Hydrophis
Q25241,Q152504,Vertebrata,Hydrophis
Q19159,Q73178,Tetrapoda,Cerastes
Q25241,Q73178,Vertebrata,Cerastes
Q19159,Q744532,Tetrapoda,Eastern Diamondback Rattlesnake
Q25241,Q744532,Vertebrata,Eastern Diamondback Rattlesnake
Q19159,Q1366532,Tetrapoda,Crotalus Cerastes
Q25241,Q1366532,Vertebrata,Crotalus Cerastes
Q729,Q43806,Animal,Invertebrate
Q43806,Q1360,Invertebrate,Arthropoda
Q1360,Q17170,Arthropoda,Trilobita
Q1360,Q19116,Arthropoda,Opiliones
Q1360,Q19125,Arthropoda,Scorpion
Q1360,Q2556499,Arthropoda,Argiope Aurantia
Q1360,Q1306991,Arthropoda,Barn Spider
Q1360,Q337509,Arthropoda,Araneus Diadematus
Q1360,Q113297,Arthropoda,Black Widow Spider
Q1360,Q213383,Arthropoda,Theraphosidae
Q1360,Q1059106,Arthropoda,Alopecosa Aculeata
Q1360,Q10304508,Arthropoda,Ixodida
Q1360,Q43447,Arthropoda,Centipede
Q430,Q155878,Dinosaur,Black Grouse
Q5113,Q155878,Birds,Black Grouse
Q19159,Q155878,Tetrapoda,Black Grouse
Q25241,Q155878,Vertebrata,Black Grouse
Q430,Q205930,Dinosaur,Rock Ptarmigan
Q5113,Q205930,Birds,Rock Ptarmigan
Q19159,Q205930,Tetrapoda,Rock Ptarmigan
Q25241,Q205930,Vertebrata,Rock Ptarmigan
Q430,Q19058,Dinosaur,Ruffed Grouse
Q5113,Q19058,Birds,Ruffed Grouse
Q19159,Q19058,Tetrapoda,Ruffed Grouse
Q25241,Q19058,Vertebrata,Ruffed Grouse
Q430,Q1463540,Dinosaur,Tympanuchus
Q5113,Q1463540,Birds,Tympanuchus
Q19159,Q1463540,Tetrapoda,Tympanuchus
Q25241,Q1463540,Vertebrata,Tympanuchus
Q430,Q201251,Dinosaur,Peafowl
Q5113,Q201251,Birds,Peafowl
Q19159,Q201251,Tetrapoda,Peafowl
Q25241,Q201251,Vertebrata,Peafowl
Q1797813,Q6072584,Productive Animal,Quail
Q178559,Q732775,Poultry,Partridge
Q430,Q220328,Dinosaur,Grey Parrot
Q5113,Q220328,Birds,Grey Parrot
Q19159,Q220328,Tetrapoda,Grey Parrot
Q25241,Q220328,Vertebrata,Grey Parrot
Q430,Q213984,Dinosaur,Ara
Q5113,Q213984,Birds,Ara
Q19159,Q213984,Tetrapoda,Ara
Q25241,Q213984,Vertebrata,Ara
Q430,Q207107,Dinosaur,Sulphur-Crested Cockatoo
Q5113,Q207107,Birds,Sulphur-Crested Cockatoo
Q19159,Q207107,Tetrapoda,Sulphur-Crested Cockatoo
Q25241,Q207107,Vertebrata,Sulphur-Crested Cockatoo
Q430,Q15274050,Dinosaur,Loriini
Q5113,Q15274050,Birds,Loriini
Q19159,Q15274050,Tetrapoda,Loriini
Q25241,Q15274050,Vertebrata,Loriini
Q430,Q657775,Dinosaur,Centropus
Q5113,Q657775,Birds,Centropus
Q19159,Q657775,Tetrapoda,Centropus
Q25241,Q657775,Vertebrata,Centropus
Q430,Q183147,Dinosaur,Meropidae
Q5113,Q183147,Birds,Meropidae
Q19159,Q183147,Tetrapoda,Meropidae
Q25241,Q183147,Vertebrata,Meropidae
Q430,Q26773,Dinosaur,Hornbill
Q5113,Q26773,Birds,Hornbill
Q19159,Q26773,Tetrapoda,Hornbill
Q25241,Q26773,Vertebrata,Hornbill
Q430,Q43624,Dinosaur,Hummingbird
Q5113,Q43624,Birds,Hummingbird
Q19159,Q43624,Tetrapoda,Hummingbird
Q25241,Q43624,Vertebrata,Hummingbird
Q430,Q212942,Dinosaur,Jacamar
Q5113,Q212942,Birds,Jacamar
Q19159,Q212942,Tetrapoda,Jacamar
Q25241,Q212942,Vertebrata,Jacamar
Q430,Q1325045,Dinosaur,Ramphastidae
Q5113,Q1325045,Birds,Ramphastidae
Q19159,Q1325045,Tetrapoda,Ramphastidae
Q25241,Q1325045,Vertebrata,Ramphastidae
Q430,Q214264,Dinosaur,Anas
Q5113,Q214264,Birds,Anas
Q19159,Q214264,Tetrapoda,Anas
Q25241,Q214264,Vertebrata,Anas
Q430,Q189609,Dinosaur,Red-Breasted Merganser
Q5113,Q189609,Birds,Red-Breasted Merganser
Q19159,Q189609,Tetrapoda,Red-Breasted Merganser
Q25241,Q189609,Vertebrata,Red-Breasted Merganser
Q1797813,Q16529344,Productive Animal,Goose
Q57815212,Q16529344,Domesticated Bird,Goose
Q430,Q131044,Dinosaur,Black Swan
Q5113,Q131044,Birds,Black Swan
Q19159,Q131044,Tetrapoda,Black Swan
Q25241,Q131044,Vertebrata,Black Swan
Q19159,Q21824,Tetrapoda,Tachyglossidae
Q25241,Q21824,Vertebrata,Tachyglossidae
Q19159,Q15343,Tetrapoda,Platypus
Q25241,Q15343,Vertebrata,Platypus
Q19159,Q23193,Tetrapoda,Macropodidae
Q25241,Q23193,Vertebrata,Macropodidae
Q19159,Q431978,Tetrapoda,Phascolarctidae
Q25241,Q431978,Vertebrata,Phascolarctidae
Q19159,Q23175,Tetrapoda,Vombatidae
Q25241,Q23175,Vertebrata,Vombatidae
Q43806,Q25441,Invertebrate,Cnidaria
Q25441,Q6596143,Cnidaria,Medusozoa
Q25441,Q147256,Cnidaria,Actiniaria
Q25441,Q134555,Cnidaria,Faviidae
Q43806,Q124900,Invertebrate,Platyhelminthes
Q729,Q4867740,Animal,Gastropoda
Q4867740,Q308841,Gastropoda,Snail
Q43806,Q7440127,Invertebrate,Sea Slug
Q1360,Q1936093,Arthropoda,Dungeness Crab
Q1360,Q590283,Arthropoda,Cancer Irroratus
Q1360,Q14510079,Arthropoda,Uca Annulipes
Q1360,Q721171,Arthropoda,Paralithodes Camtschaticus
Q1360,Q37668,Arthropoda,Homarus Americanus
Q1360,Q916760,Arthropoda,Palinuridae
Q1360,Q210959,Arthropoda,Astacus Astacus
Q1360,Q273291,Arthropoda,Hermit Crab
Q1360,Q206338,Arthropoda,Isopoda
Q430,Q25352,Dinosaur,White Stork
Q5113,Q25352,Birds,White Stork
Q19159,Q25352,Tetrapoda,White Stork
Q25241,Q25352,Vertebrata,White Stork
Q430,Q25398,Dinosaur,Black Stork
Q5113,Q25398,Birds,Black Stork
Q19159,Q25398,Tetrapoda,Black Stork
Q25241,Q25398,Vertebrata,Black Stork
Q430,Q171360,Dinosaur,Eurasian Spoonbill
Q5113,Q171360,Birds,Eurasian Spoonbill
Q19159,Q171360,Tetrapoda,Eurasian Spoonbill
Q25241,Q171360,Vertebrata,Eurasian Spoonbill
Q430,Q208004,Dinosaur,American Flamingo
Q5113,Q208004,Birds,American Flamingo
Q19159,Q208004,Tetrapoda,American Flamingo
Q25241,Q208004,Vertebrata,American Flamingo
Q430,Q371028,Dinosaur,Little Blue Heron
Q5113,Q371028,Birds,Little Blue Heron
Q19159,Q371028,Tetrapoda,Little Blue Heron
Q25241,Q371028,Vertebrata,Little Blue Heron
Q430,Q27604486,Dinosaur,Ardea Herodias Occidentalis
Q5113,Q27604486,Birds,Ardea Herodias Occidentalis
Q19159,Q27604486,Tetrapoda,Ardea Herodias Occidentalis
Q25241,Q27604486,Vertebrata,Ardea Herodias Occidentalis
Q430,Q855133,Dinosaur,Botaurinae
Q5113,Q855133,Birds,Botaurinae
Q19159,Q855133,Tetrapoda,Botaurinae
Q25241,Q855133,Vertebrata,Botaurinae
Q430,Q25365,Dinosaur,Gruidae
Q5113,Q25365,Birds,Gruidae
Q19159,Q25365,Tetrapoda,Gruidae
Q25241,Q25365,Vertebrata,Gruidae
Q430,Q725276,Dinosaur,Aramus Guarauna
Q5113,Q725276,Birds,Aramus Guarauna
Q19159,Q725276,Tetrapoda,Aramus Guarauna
Q25241,Q725276,Vertebrata,Aramus Guarauna
Q430,Q187902,Dinosaur,Purple Swamphen
Q5113,Q187902,Birds,Purple Swamphen
Q19159,Q187902,Tetrapoda,Purple Swamphen
Q25241,Q187902,Vertebrata,Purple Swamphen
Q430,Q470016,Dinosaur,American Coot
Q5113,Q470016,Birds,American Coot
Q19159,Q470016,Tetrapoda,American Coot
Q25241,Q470016,Vertebrata,American Coot
Q430,Q21755,Dinosaur,Otididae
Q5113,Q21755,Birds,Otididae
Q19159,Q21755,Tetrapoda,Otididae
Q25241,Q21755,Vertebrata,Otididae
Q430,Q26892,Dinosaur,Ruddy Turnstone
Q5113,Q26892,Birds,Ruddy Turnstone
Q19159,Q26892,Tetrapoda,Ruddy Turnstone
Q25241,Q26892,Vertebrata,Ruddy Turnstone
Q430,Q106447283,Dinosaur,Erolia Alpina
Q5113,Q106447283,Birds,Erolia Alpina
Q19159,Q106447283,Tetrapoda,Erolia Alpina
Q25241,Q106447283,Vertebrata,Erolia Alpina
Q430,Q18859,Dinosaur,Common Redshank
Q5113,Q18859,Birds,Common Redshank
Q19159,Q18859,Tetrapoda,Common Redshank
Q25241,Q18859,Vertebrata,Common Redshank
Q430,Q838747,Dinosaur,Dowitcher
Q5113,Q838747,Birds,Dowitcher
Q19159,Q838747,Tetrapoda,Dowitcher
Q25241,Q838747,Vertebrata,Dowitcher
Q430,Q25928,Dinosaur,Eurasian Oystercatcher
Q5113,Q25928,Birds,Eurasian Oystercatcher
Q19159,Q25928,Tetrapoda,Eurasian Oystercatcher
Q25241,Q25928,Vertebrata,Eurasian Oystercatcher
Q430,Q19413,Dinosaur,Pelecanus
Q5113,Q19413,Birds,Pelecanus
Q19159,Q19413,Tetrapoda,Pelecanus
Q25241,Q19413,Vertebrata,Pelecanus
Q430,Q182209,Dinosaur,King Penguin
Q5113,Q182209,Birds,King Penguin
Q19159,Q182209,Tetrapoda,King Penguin
Q25241,Q182209,Vertebrata,King Penguin
Q430,Q55805,Dinosaur,Albatross
Q5113,Q55805,Birds,Albatross
Q19159,Q55805,Tetrapoda,Albatross
Q25241,Q55805,Vertebrata,Albatross
Q19159,Q179154,Tetrapoda,Gray Whale
Q25241,Q179154,Vertebrata,Gray Whale
Q19159,Q1231177,Tetrapoda,Ungulate
Q1231177,Q179154,Ungulate,Gray Whale
Q3039055,Q382441,Aquatic Mammal,Marine Mammal
Q110551885,Q3039055,Mammal,Aquatic Mammal
Q729,Q110551902,Animal,Vertebrate
Q382441,Q1865281,Marine Mammal,Whale
Q1756633,Q3039055,Aquatic Animal,Aquatic Mammal
Q110551902,Q110551885,Vertebrate,Mammal
Q1865281,Q144144,Whale,Odontoceti
Q144144,Q26843,Odontoceti,Orca
Q19159,Q129544,Tetrapoda,Dugong
Q25241,Q129544,Vertebrata,Dugong
Q19159,Q333649,Tetrapoda,South American Sea Lion
Q25241,Q333649,Vertebrata,South American Sea Lion
Q19159,Q25833,Tetrapoda,Placentalia
Q25241,Q25833,Vertebrata,Placentalia
Q25833,Q25306,Placentalia,Carnivora
Q25306,Q333649,Carnivora,South American Sea Lion
Q25306,Q27414,Carnivora,Caniformia
Q27414,Q333649,Caniformia,South American Sea Lion
Q19159,Q7377,Tetrapoda,Mammals
Q25241,Q7377,Vertebrata,Mammals
Q7377,Q30263,Mammals,Pinnipedia
Q30263,Q333649,Pinnipedia,South American Sea Lion
Q622852,Q57814795,Domesticated Animal,Domesticated Mammal
Q39201,Q144,Pet,Dog
Q57812611,Q57814795,Captive Mammal,Domesticated Mammal
Q622852,Q39201,Domesticated Animal,Pet
Q57814795,Q144,Domesticated Mammal,Dog
Q57812559,Q57812611,Captive Animal,Captive Mammal
Q110551885,Q57812611,Mammal,Captive Mammal
Q144,Q653,Dog,Chihuahua
Q144,Q38146,Dog,Japanese Chin
Q144,Q38751,Dog,Maltese
Q144,Q38959,Dog,Pekingese
Q144,Q39357,Dog,Shih Tzu
Q144,Q38115,Dog,Papillon
Q144,Q39026,Dog,Rhodesian Ridgeback
Q144,Q21080,Dog,Afghan Hound
Q144,Q37716,Dog,Basset Hound
Q144,Q38774,Dog,Hunting Dog
Q38774,Q21102,Hunting Dog,Beagle
Q38774,Q21098,Hunting Dog,Bloodhound
Q38774,Q39401,Hunting Dog,Scent Hound
Q144,Q38923,Dog,Hound
Q38923,Q39401,Hound,Scent Hound
Q144,Q39367,Dog,Dog Breed
Q39367,Q37766,Dog Breed,Coonhound
Q39401,Q37766,Scent Hound,Coonhound
Q37766,Q37568,Coonhound,Bluetick Coonhound
Q37766,Q37537,Coonhound,Black And Tan Coonhound
Q144,Q37789,Dog,English Foxhound
Q144,Q38820,Dog,Redbone Coonhound
Q144,Q37866,Dog,Borzoi
Q144,Q38668,Dog,Irish Wolfhound
Q144,Q38503,Dog,Italian Greyhound
Q144,Q39122,Dog,Whippet
Q38774,Q39253,Hunting Dog,Podenco
Q39253,Q37755,Podenco,Ibizan Hound
Q144,Q38803,Dog,Norwegian Elkhound
Q144,Q38922,Dog,Otterhound
Q144,Q39108,Dog,Saluki
Q144,Q37929,Dog,Scottish Deerhound
Q144,Q38965,Dog,Weimaraner
Q144,Q39285,Dog,Staffordshire Bull Terrier
Q144,Q37688,Dog,American Staffordshire Terrier
Q144,Q37582,Dog,Bedlington Terrier
Q144,Q37558,Dog,Border Terrier
Q144,Q38025,Dog,Kerry Blue Terrier
Q144,Q38644,Dog,Irish Terrier
Q144,Q38940,Dog,Norfolk Terrier
Q144,Q38934,Dog,Norwich Terrier
Q144,Q39330,Dog,Yorkshire Terrier
Q144,Q38110,Dog,Lakeland Terrier
Q144,Q39068,Dog,Sealyham Terrier
Q144,Q37617,Dog,Airedale Terrier
Q144,Q37888,Dog,Cairn Terrier
Q38774,Q38984,Hunting Dog,Terrier
Q38984,Q37888,Terrier,Cairn Terrier
Q144,Q37530,Dog,Australian Terrier
Q144,Q38336,Dog,Dandie Dinmont Terrier
Q144,Q37550,Dog,Boston Terrier
Q38984,Q38421,Terrier,Schnauzer
Q38421,Q38999,Schnauzer,Miniature Schnauzer
Q38421,Q38688,Schnauzer,Giant Schnauzer
Q38421,Q39605,Schnauzer,Standard Schnauzer
Q144,Q39035,Dog,Scottish Terrier
Q144,Q38796,Dog,Tibetan Terrier
Q144,Q37524,Dog,Australian Silky Terrier
Q144,Q38047,Dog,Soft-Coated Wheaten Terrier
Q144,Q17510,Dog,West Highland White Terrier
Q144,Q38352,Dog,Lhasa Apso
Q144,Q29200,Dog,Flat-Coated Retriever
Q144,Q38375,Dog,Curly Coated Retriever
Q144,Q38686,Dog,Golden Retriever
Q144,Q38726,Dog,Labrador Retriever
Q144,Q29084,Dog,Chesapeake Bay Retriever
Q144,Q38819,Dog,Vizsla
Q144,Q38309,Dog,English Setter
Q144,Q38761,Dog,Irish Setter
Q144,Q38301,Dog,Gordon Setter
Q144,Q38156,Dog,Brittany
Q144,Q37851,Dog,Clumber Spaniel
Q144,Q29022,Dog,English Springer Spaniel
Q144,Q39047,Dog,Welsh Springer Spaniel
Q144,Q38533,Dog,English Cocker Spaniel
Q144,Q39138,Dog,Sussex Spaniel
Q144,Q38162,Dog,Irish Water Spaniel
Q144,Q38467,Dog,Kuvasz
Q144,Q39010,Dog,Schipperke
Q144,Q37624,Dog,Belgian Shepherd
Q37624,Q38399,Belgian Shepherd,Groenendael
Q37624,Q38494,Belgian Shepherd,Belgian Malinois
Q144,Q37821,Dog,Briard
Q144,Q37520,Dog,Australian Kelpie
Q144,Q38675,Dog,Komondor
Q144,Q37704,Dog,Old English Sheepdog
Q144,Q39058,Dog,Shetland Sheepdog
Q144,Q1196071,Dog,Collie
Q144,Q37710,Dog,Border Collie
Q144,Q37896,Dog,Bouvier Des Flandres
Q144,Q39093,Dog,Rottweiler
Q144,Q38280,Dog,German Shepherd
Q144,Q38358,Dog,Dobermann
Q144,Q38990,Dog,Miniature Pinscher
Q144,Q246603,Dog,Swiss Mountain Dogs
Q246603,Q38121,Swiss Mountain Dogs,Greater Swiss Mountain Dog
Q246603,Q37608,Swiss Mountain Dogs,Bernese Mountain Dog
Q246603,Q37697,Swiss Mountain Dogs,Appenzeller Sennenhund
Q246603,Q37986,Swiss Mountain Dogs,Entlebucher Mountain Dog
Q144,Q38496,Dog,Boxer
Q144,Q38080,Dog,Bullmastiff
Q144,Q39322,Dog,Tibetan Mastiff
Q144,Q29149,Dog,French Bulldog
Q144,Q5414,Dog,Great Dane
Q144,Q38090,Dog,St. Bernard
Q144,Q21206,Dog,Alaskan Malamute
Q144,Q39295,Dog,Siberian Husky
Q144,Q17504,Dog,Dalmatian
Q144,Q7254,Dog,Affenpinscher
Q144,Q37871,Dog,Basenji
Q144,Q38698,Dog,Pug
Q144,Q2991480,Dog,Toy Dog
Q2991480,Q38698,Toy Dog,Pug
Q144,Q38487,Dog,Leonberger
Q144,Q38706,Dog,Newfoundland Dog
Q144,Q37803,Dog,Pyrenean Mountain Dog
Q144,Q39002,Dog,Samoyed
Q144,Q39579,Dog,Pomeranian
Q854787,Q38655,Spitz,German Spitz
Q144,Q854787,Dog,Spitz
Q144,Q38655,Dog,German Spitz
Q38655,Q39579,German Spitz,Pomeranian
Q144,Q29013,Dog,Chow Chow
Q144,Q38843,Dog,Keeshond
Q2991480,Q7546516,Toy Dog,Smousje
Q7546516,Q38889,Smousje,Griffon Bruxellois
Q144,Q38783,Dog,Pembroke Welsh Corgi
Q144,Q29072,Dog,Cardigan Welsh Corgi
Q144,Q38904,Dog,Poodle
Q38904,Q11831662,Poodle,Toy Poodle
Q144,Q38856,Dog,Mexican Hairless Dog
Q27414,Q18498,Caniformia,Wolf
Q19159,Q25324,Tetrapoda,Canidae
Q25241,Q25324,Vertebrata,Canidae
Q25306,Q25324,Carnivora,Canidae
Q27414,Q25324,Caniformia,Canidae
Q25324,Q149892,Canidae,Canis
Q149892,Q18498,Canis,Wolf
Q19159,Q18498,Tetrapoda,Wolf
Q25241,Q18498,Vertebrata,Wolf
Q25306,Q18498,Carnivora,Wolf
Q25324,Q18498,Canidae,Wolf
Q27414,Q216441,Caniformia,Arctic Wolf
Q18498,Q216441,Wolf,Arctic Wolf
Q149892,Q216441,Canis,Arctic Wolf
Q19159,Q216441,Tetrapoda,Arctic Wolf
Q25241,Q216441,Vertebrata,Arctic Wolf
Q25306,Q216441,Carnivora,Arctic Wolf
Q25324,Q216441,Canidae,Arctic Wolf
Q27414,Q200442,Caniformia,Canis Lupus Rufus
Q18498,Q200442,Wolf,Canis Lupus Rufus
Q149892,Q200442,Canis,Canis Lupus Rufus
Q19159,Q200442,Tetrapoda,Canis Lupus Rufus
Q25241,Q200442,Vertebrata,Canis Lupus Rufus
Q25306,Q200442,Carnivora,Canis Lupus Rufus
Q25324,Q200442,Canidae,Canis Lupus Rufus
Q19159,Q44299,Tetrapoda,Coyote
Q25241,Q44299,Vertebrata,Coyote
Q25306,Q44299,Carnivora,Coyote
Q25324,Q44299,Canidae,Coyote
Q27414,Q44299,Caniformia,Coyote
Q149892,Q44299,Canis,Coyote
Q27414,Q38584,Caniformia,Dingo
Q149892,Q38584,Canis,Dingo
Q18498,Q38584,Wolf,Dingo
Q19159,Q38584,Tetrapoda,Dingo
Q25241,Q38584,Vertebrata,Dingo
Q25306,Q38584,Carnivora,Dingo
Q25324,Q38584,Canidae,Dingo
Q19159,Q132585,Tetrapoda,Dhole
Q25241,Q132585,Vertebrata,Dhole
Q25306,Q132585,Carnivora,Dhole
Q25324,Q132585,Canidae,Dhole
Q27414,Q132585,Caniformia,Dhole
Q19159,Q173651,Tetrapoda,African Wild Dog
Q25241,Q173651,Vertebrata,African Wild Dog
Q25306,Q173651,Carnivora,African Wild Dog
Q25324,Q173651,Canidae,African Wild Dog
Q27414,Q173651,Caniformia,African Wild Dog
Q19159,Q42046,Tetrapoda,Hyaena
Q25241,Q42046,Vertebrata,Hyaena
Q25306,Q42046,Carnivora,Hyaena
Q25306,Q27070,Carnivora,Feliformia
Q27070,Q42046,Feliformia,Hyaena
Q19159,Q8332,Tetrapoda,Red Fox
Q25241,Q8332,Vertebrata,Red Fox
Q25306,Q8332,Carnivora,Red Fox
Q25324,Q8332,Canidae,Red Fox
Q27414,Q8332,Caniformia,Red Fox
Q19159,Q745751,Tetrapoda,Kit Fox
Q25241,Q745751,Vertebrata,Kit Fox
Q25306,Q745751,Carnivora,Kit Fox
